code,loops,maxDepth,recursion,label
"public int sumArray(int[] arr) {
  int sum = 0;
  for (int i = 0; i < arr.length; i++) {
    sum += arr[i];
  }
  return sum;
}",1,1,False,Efficient
"public int binarySearch(int[] arr, int target) {
  int lo = 0, hi = arr.length - 1;
  while (lo <= hi) {
    int mid = lo + (hi - lo) / 2;
    if (arr[mid] == target) return mid;
    else if (arr[mid] < target) lo = mid + 1;
    else hi = mid - 1;
  }
  return -1;
}",1,1,False,Efficient
"public void bubbleSort(int[] arr) {
  for (int i = 0; i < arr.length; i++) {
    for (int j = 0; j < arr.length - i - 1; j++) {
      if (arr[j] > arr[j+1]) {
        int tmp = arr[j];
        arr[j] = arr[j+1];
        arr[j+1] = tmp;
      }
    }
  }
}",2,2,False,Inefficient
"public int factorial(int n) {
  if (n <= 1) return 1;
  return n * factorial(n - 1);
}",0,0,True,Efficient
"public int fibonacci(int n) {
  if (n <= 1) return n;
  return fibonacci(n - 1) + fibonacci(n - 2);
}",0,0,True,Inefficient
"public int getFirst(int[] arr) {
  return arr[0];
}",0,0,False,Efficient
"public boolean isPrime(int n) {
  if (n < 2) return false;
  for (int i = 2; i <= Math.sqrt(n); i++) {
    if (n % i == 0) return false;
  }
  return true;
}",1,1,False,Efficient
"public int[][] matrixMultiply(int[][] A, int[][] B, int n) {
  int[][] C = new int[n][n];
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++)
      for (int k = 0; k < n; k++)
        C[i][j] += A[i][k] * B[k][j];
  return C;
}",3,3,False,Inefficient
"public int linearSearch(int[] arr, int target) {
  for (int i = 0; i < arr.length; i++) {
    if (arr[i] == target) return i;
  }
  return -1;
}",1,1,False,Efficient
"public int mergeSort(int[] arr, int l, int r) {
  if (l < r) {
    int m = (l + r) / 2;
    mergeSort(arr, l, m);
    mergeSort(arr, m + 1, r);
    merge(arr, l, m, r);
  }
  return 0;
}",0,0,True,Efficient
"public int selectionSort(int[] arr) {
  int n = arr.length;
  for (int i = 0; i < n; i++) {
    int minIdx = i;
    for (int j = i+1; j < n; j++)
      if (arr[j] < arr[minIdx]) minIdx = j;
    int tmp = arr[minIdx];
    arr[minIdx] = arr[i];
    arr[i] = tmp;
  }
  return 0;
}",2,2,False,Inefficient
"public int maxElement(int[] arr) {
  int max = arr[0];
  for (int x : arr)
    if (x > max) max = x;
  return max;
}",1,1,False,Efficient
"public void printPairs(int[] arr) {
  for (int i = 0; i < arr.length; i++)
    for (int j = i + 1; j < arr.length; j++)
      System.out.println(arr[i] + "", "" + arr[j]);
}",2,2,False,Inefficient
"public int gcd(int a, int b) {
  if (b == 0) return a;
  return gcd(b, a % b);
}",0,0,True,Efficient
"public boolean hasDuplicate(int[] arr) {
  Set seen = new HashSet<>();
  for (int x : arr) {
    if (!seen.add(x)) return true;
  }
  return false;
}",1,1,False,Efficient
"public int countOccurrences(int[] arr, int target) {
  int count = 0;
  for (int x : arr)
    if (x == target) count++;
  return count;
}",1,1,False,Efficient
"public void insertionSort(int[] arr) {
  for (int i = 1; i < arr.length; i++) {
    int key = arr[i], j = i - 1;
    while (j >= 0 && arr[j] > key) {
      arr[j + 1] = arr[j];
      j--;
    }
    arr[j + 1] = key;
  }
}",2,2,False,Moderate
"public int power(int base, int exp) {
  if (exp == 0) return 1;
  if (exp % 2 == 0) {
    int half = power(base, exp / 2);
    return half * half;
  }
  return base * power(base, exp - 1);
}",0,0,True,Efficient
"public void reverseArray(int[] arr) {
  int l = 0, r = arr.length - 1;
  while (l < r) {
    int tmp = arr[l];
    arr[l++] = arr[r];
    arr[r--] = tmp;
  }
}",1,1,False,Efficient
"public int naivePower(int base, int exp) {
  int result = 1;
  for (int i = 0; i < exp; i++)
    result = base;
  return result;
}",1,1,False,Moderate
"public boolean isSorted(int[] arr) {
  for (int i = 0; i < arr.length - 1; i++)
    if (arr[i] > arr[i+1]) return false;
  return true;
}",1,1,False,Efficient
"public int towerOfHanoi(int n, char from, char to, char aux) {
  if (n == 1) { System.out.println(from + "" -> "" + to); return 1; }
  towerOfHanoi(n-1, from, aux, to);
  System.out.println(from + "" -> "" + to);
  towerOfHanoi(n-1, aux, to, from);
  return 0;
}",0,0,True,Inefficient
"public int sumDigits(int n) {
  int sum = 0;
  while (n > 0) {
    sum += n % 10;
    n /= 10;
  }
  return sum;
}",1,1,False,Efficient
"public int[] twoSum(int[] nums, int target) {
  Map<Integer, Integer> map = new HashMap<>();
  for (int i = 0; i < nums.length; i++) {
    int comp = target - nums[i];
    if (map.containsKey(comp)) return new int[]{map.get(comp), i};
    map.put(nums[i], i);
  }
  return new int[]{};
}",1,1,False,Efficient
"public boolean isPalindrome(String s) {
  int l = 0, r = s.length() - 1;
  while (l < r) {
    if (s.charAt(l++) != s.charAt(r--)) return false;
  }
  return true;
}",1,1,False,Efficient
"public int minInMatrix(int[][] mat) {
  int min = Integer.MAX_VALUE;
  for (int[] row : mat)
    for (int val : row)
      if (val < min) min = val;
  return min;
}",2,2,False,Moderate
"public int sumMatrix(int[][] mat) {
  int sum = 0;
  for (int i = 0; i < mat.length; i++)
    for (int j = 0; j < mat[0].length; j++)
      sum += mat[i][j];
  return sum;
}",2,2,False,Moderate
"public void printTriangle(int n) {
  for (int i = 1; i <= n; i++) {
    for (int j = 1; j <= i; j++)
      System.out.print("" "");
    System.out.println();
  }
}",2,2,False,Moderate
"public int binarySearchRecursive(int[] arr, int lo, int hi, int target) {
  if (lo > hi) return -1;
  int mid = lo + (hi - lo) / 2;
  if (arr[mid] == target) return mid;
  if (arr[mid] < target) return binarySearchRecursive(arr, mid+1, hi, target);
  return binarySearchRecursive(arr, lo, mid-1, target);
}",0,0,True,Efficient
"public int countBits(int n) {
  int count = 0;
  while (n > 0) {
    count += n & 1;
    n >>= 1;
  }
  return count;
}",1,1,False,Efficient
"public boolean allPositive(int[] arr) {
  for (int x : arr)
    if (x <= 0) return false;
  return true;
}",1,1,False,Efficient
"public int naiveFibonacci(int n) {
  int a = 0, b = 1;
  for (int i = 0; i < n; i++) {
    int tmp = a + b;
    a = b;
    b = tmp;
  }
  return a;
}",1,1,False,Efficient
"public int[] prefixSum(int[] arr) {
  int[] prefix = new int[arr.length];
  prefix[0] = arr[0];
  for (int i = 1; i < arr.length; i++)
    prefix[i] = prefix[i-1] + arr[i];
  return prefix;
}",1,1,False,Efficient
"public void tripleNestedLoop(int n) {
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++)
      for (int k = 0; k < n; k++)
        System.out.println(i + j + k);
}",3,3,False,Inefficient
